Country,FechasF,AD,Years,Months,Days
South Africa,1931-12-11,2022-05-03,90,1084,33016
South Sudan,2011-07-09,2022-05-03,10,129,3951
Spain,1492-10-12,2022-05-03,529,6354,193416
Sri Lanka,1948-02-04,2022-05-03,74,890,27117
Sudan,1956-01-01,2022-05-03,66,796,24229
Suriname,1975-11-25,2022-05-03,46,557,16961
Sweden,1905-06-06,2022-05-03,116,1402,42700
Switzerland,1291-08-01,2022-05-03,730,8769,266902
Syria,1946-04-17,2022-05-03,76,912,27775
Tajikistan,1991-09-09,2022-05-03,30,367,11194
Tanzania,1961-12-09,2022-05-03,60,724,22060
Togo,1960-04-27,2022-05-03,62,744,22651
Tonga,1970-06-04,2022-05-03,51,622,18961
Trinidad and Tobago,1962-08-31,2022-05-03,59,716,21795
Tunisia,1956-03-20,2022-05-03,66,793,24150
Turkey,1923-10-29,2022-05-03,98,1182,35981
Turkmenistan,1991-09-27,2022-05-03,30,367,11176
Tuvalu,1978-10-01,2022-05-03,43,523,15920
Uganda,1962-10-09,2022-05-03,59,714,21756
Ukraine,1991-08-24,2022-05-03,30,368,11210
Ukraine,1919-01-22,2022-05-03,103,1239,37722
United Arab Emirates,1971-12-02,2022-05-03,50,605,18415
United States,1776-07-04,2022-05-03,245,2949,89787
Uruguay,1825-08-25,2022-05-03,196,2360,71839
Uzbekistan,1991-09-01,2022-05-03,30,368,11202
Vanuatu,1980-07-30,2022-05-03,41,501,15252
Vatican City,1929-02-11,2022-05-03,93,1118,34049
Venezuela,1811-07-05,2022-05-03,210,2529,77004
Vietnam,1945-09-02,2022-05-03,76,920,28002
Yemen,1967-11-30,2022-05-03,54,653,19878
Zambia,1964-10-24,2022-05-03,57,690,21010
Zimbabwe,1980-04-18,2022-05-03,42,504,15355
